scene_a,scene_b,same_family,same_expected,same_majority,mid_raw,final_raw,final_minus_mid,mid_centered,final_centered
scene_fc_blocked_v02,scene_translate_v02,False,True,True,0.9911874902,0.9778169138,-0.0133705764,-0.3765379277,-0.5771197316
scene_fc_blocked_v02,scene_translate_v03,False,True,True,0.9934635067,0.9946028452,0.0011393385,0.2507444869,0.2811395407
scene_fc_blocked_v02,scene_translate_v04,False,True,True,0.9947067988,0.9885449737,-0.0061618250,-0.0992285910,-0.3823149599
scene_fc_blocked_v02,scene_translate_v05,False,True,True,0.9956134132,0.9757206527,-0.0198927605,-0.0503797646,-0.6328696907
scene_fc_blocked_v02,scene_rotate_v01,False,True,True,0.9954750912,0.9892274919,-0.0062475993,0.0837466435,-0.2575001101
scene_fc_blocked_v02,scene_rotate_v02,False,True,True,0.9954542901,0.9935766182,-0.0018776719,0.0734866530,0.2191581018
scene_fc_blocked_v02,scene_rotate_v03,False,True,True,0.9946780020,0.9934206020,-0.0012574001,0.1059893407,-0.0406637009
scene_fc_blocked_v02,scene_rotate_v04,False,True,True,0.9963820915,0.9947313432,-0.0016507482,0.2729462088,0.2224358974
scene_fc_blocked_v02,scene_rotate_v05,False,True,True,0.9943396791,0.9957462898,0.0014066107,0.3177861743,0.4542128987
scene_fc_blocked_v02,scene_lift_and_relocate_v01,False,True,True,0.9950424413,0.9921919778,-0.0028504635,-0.0599061824,-0.1310167992
scene_fc_blocked_v02,scene_lift_and_relocate_v02,False,True,True,0.9944818804,0.9869766985,-0.0075051819,-0.0588917227,-0.2782296647
scene_fc_blocked_v02,scene_lift_and_relocate_v03,False,True,True,0.9965885608,0.9898010818,-0.0067874791,0.3582308125,0.0834729404
scene_fc_blocked_v02,scene_lift_and_relocate_v04,False,True,True,0.9954511234,0.9835062108,-0.0119449126,-0.0343923714,-0.5025694901
scene_fc_blocked_v02,scene_lift_and_relocate_v05,False,True,True,0.9940583095,0.9861111864,-0.0079471230,0.2835140482,-0.0329086478
scene_fc_blocked_v03,scene_fc_blocked_v04,True,True,False,0.9963595220,0.9921559113,-0.0042036107,0.1919208938,0.0311157210
scene_fc_blocked_v03,scene_fc_blocked_v05,True,True,False,0.9923352096,0.9932086814,0.0008734718,-0.0212350393,0.5831333567
scene_fc_blocked_v03,scene_translate_v01,False,True,False,0.9921683242,0.9807396150,-0.0114287092,-0.2171429172,-0.1242707832
scene_fc_blocked_v03,scene_translate_v02,False,True,False,0.9931896460,0.9882000594,-0.0049895866,-0.0846344711,0.2342190412
