scene_a,scene_b,short_a,short_b,family_a,family_b,a_fc_clear,b_fc_clear,a_semantic_clear,b_semantic_clear,block24_cosine,final_cosine,final_minus_block24
scene_fc_clear_v01,scene_fc_clear_v02,C1,C2,FC_CLEAR,FC_CLEAR,True,True,True,True,0.9994248597969277,0.997770895123751,-0.0016539646731767998
scene_fc_clear_v01,scene_fc_clear_v03,C1,C3,FC_CLEAR,FC_CLEAR,True,True,True,True,0.9993101965329827,0.9954873555047202,-0.003822841028262469
scene_fc_clear_v01,scene_fc_clear_v04,C1,C4,FC_CLEAR,FC_CLEAR,True,True,True,True,0.9994543123650138,0.9988046609786185,-0.000649651386395278
scene_fc_clear_v01,scene_fc_clear_v05,C1,C5,FC_CLEAR,FC_CLEAR,True,True,True,False,0.999356992104967,0.978763463798278,-0.020593528306688924
scene_fc_clear_v01,scene_lift_and_relocate_v01,C1,L1,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.997807682973851,0.9837409375597849,-0.014066745414066162
scene_fc_clear_v01,scene_lift_and_relocate_v02,C1,L2,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9981308731893396,0.9832607293821762,-0.014870143807163339
scene_fc_clear_v01,scene_lift_and_relocate_v03,C1,L3,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9979075106553609,0.9829034403975179,-0.015004070257843005
scene_fc_clear_v01,scene_lift_and_relocate_v04,C1,L4,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9987687491126471,0.980979578862512,-0.017789170250135156
scene_fc_clear_v01,scene_lift_and_relocate_v05,C1,L5,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.998569994085307,0.985585133447777,-0.012984860637530016
scene_fc_clear_v01,scene_rotate_v01,C1,R1,FC_CLEAR,ROTATE,True,False,True,False,0.998789672696439,0.9920317935449954,-0.006757879151443658
scene_fc_clear_v01,scene_rotate_v02,C1,R2,FC_CLEAR,ROTATE,True,False,True,False,0.9989492423184136,0.98803907695071,-0.010910165367703617
scene_fc_clear_v01,scene_rotate_v03,C1,R3,FC_CLEAR,ROTATE,True,False,True,False,0.9986827304231112,0.9844743619834597,-0.014208368439651453
scene_fc_clear_v01,scene_rotate_v04,C1,R4,FC_CLEAR,ROTATE,True,False,True,False,0.998741066736486,0.9903696742305246,-0.008371392505961417
scene_fc_clear_v01,scene_rotate_v05,C1,R5,FC_CLEAR,ROTATE,True,False,True,False,0.9980089581807836,0.991636872394322,-0.006372085786461645
scene_fc_clear_v01,scene_translate_v01,C1,T1,FC_CLEAR,TRANSLATE,True,False,True,False,0.9982709491156723,0.9779456725656983,-0.02032527654997396
scene_fc_clear_v01,scene_translate_v02,C1,T2,FC_CLEAR,TRANSLATE,True,False,True,False,0.9982513121351237,0.9746676438867479,-0.023583668248375877
scene_fc_clear_v01,scene_translate_v03,C1,T3,FC_CLEAR,TRANSLATE,True,False,True,False,0.9982588700828805,0.9870266586613821,-0.01123221142149844
scene_fc_clear_v01,scene_translate_v04,C1,T4,FC_CLEAR,TRANSLATE,True,False,True,False,0.9981547713492303,0.9840073844709788,-0.014147386878251456
scene_fc_clear_v01,scene_translate_v05,C1,T5,FC_CLEAR,TRANSLATE,True,False,True,False,0.9986081823603754,0.9841680584679684,-0.014440123892407009
scene_fc_clear_v02,scene_fc_clear_v03,C2,C3,FC_CLEAR,FC_CLEAR,True,True,True,True,0.9993430790923019,0.9973046058692432,-0.0020384732230587232
scene_fc_clear_v02,scene_fc_clear_v04,C2,C4,FC_CLEAR,FC_CLEAR,True,True,True,True,0.999213031902658,0.9986363246691887,-0.0005767072334692536
scene_fc_clear_v02,scene_fc_clear_v05,C2,C5,FC_CLEAR,FC_CLEAR,True,True,True,False,0.9991490778961875,0.9818813998016569,-0.01726767809453056
